排名,球员,球队,场次,得分,二分,三分,罚球,篮板,前篮板,后篮板,助攻,抢断,扣篮,盖帽,失误,犯规,效率
264,张正昕,浙江,18,1.7,0.6-1.6,0.0-0.0,0.6-1.1,1.8,0.8,0.9,0.1,0.1,0.0,0.1,0.5,1.9,1.72
265,景菡一,四川,3,1.7,0.3-2.0,0.3-0.7,0.0-0.0,1.7,1.0,0.7,0.0,0.7,0.0,0.0,0.0,3.0,2.00
266,赵义明,深圳,5,1.6,0.6-1.4,0.0-0.0,0.4-0.6,1.8,1.0,0.8,0.2,0.4,0.0,0.2,0.2,1.0,3.00
267,柴长易,吉林,12,1.6,0.2-0.6,0.4-1.3,0.0-0.0,0.8,0.2,0.6,0.2,0.2,0.0,0.0,0.6,0.6,0.75
268,李英博,广东,7,1.6,0.6-0.9,0.0-0.1,0.4-1.4,2.0,0.9,1.1,0.0,0.1,0.0,0.3,0.3,3.1,2.29
269,马壮,辽宁,2,1.5,0.0-0.0,0.0-1.0,1.5-2.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.00
270,刁成灏,福建,4,1.5,0.0-0.5,0.5-3.5,0.0-0.0,0.5,0.5,0.0,0.8,0.3,0.0,0.0,0.0,1.3,-0.50
271,张才仁,北京,11,1.5,0.5-1.3,0.1-0.2,0.3-0.3,0.6,0.1,0.5,0.2,0.0,0.0,0.0,0.4,1.0,1.00
272,栾晓君,天津,5,1.4,0.4-1.2,0.0-0.0,0.6-0.8,0.4,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.4,1.00
273,谢亚财,福建,12,1.3,0.4-0.9,0.0-0.2,0.5-0.7,1.3,0.3,1.0,1.2,0.3,0.0,0.0,0.8,1.3,2.50
274,刘力鹏,新疆,3,1.3,0.7-1.3,0.0-1.3,0.0-0.3,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.3,1.0,0.33
275,西尔扎提-赛买提,新疆,3,1.3,0.7-1.7,0.0-0.7,0.0-0.0,1.0,0.0,1.0,0.7,0.3,0.0,0.0,0.7,2.0,1.00
276,吴羽佳,广厦,6,1.3,0.5-1.2,0.0-0.7,0.3-0.8,1.0,0.5,0.5,0.5,0.3,0.0,0.0,0.3,0.5,1.00
277,王旭,北京,4,1.3,0.0-0.5,0.3-1.3,0.5-0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.0,1.3,1.8,0.50
278,陈金龙,北控,12,1.3,0.4-0.9,0.1-0.8,0.2-0.2,0.4,0.1,0.3,0.3,0.2,0.0,0.0,0.1,1.3,0.92
279,赵嘉义,广厦,4,1.3,0.3-0.5,0.0-0.8,0.8-1.0,1.0,0.0,1.0,0.3,0.5,0.0,0.0,0.5,0.8,1.25
280,吴永盛,上海,4,1.3,0.5-1.0,0.0-0.8,0.3-0.3,0.3,0.3,0.0,0.0,0.5,0.0,0.0,0.3,1.0,0.50
281,石颜博,八一,5,1.2,0.6-1.2,0.0-0.2,0.0-0.0,0.8,0.4,0.4,0.0,0.2,0.0,0.0,0.2,1.0,1.20
282,张泽龙,山西,7,1.1,0.6-1.6,0.0-0.7,0.0-0.0,1.1,0.6,0.6,0.1,0.1,0.1,0.0,0.3,0.3,0.57
283,孙思尧,同曦,4,1.0,0.5-1.5,0.0-0.8,0.0-0.0,1.5,0.3,1.3,0.3,0.5,0.0,0.3,0.3,1.0,1.50
284,蒋浩然,江苏,3,1.0,0.0-0.3,0.0-0.0,1.0-1.3,1.3,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,1.67
285,袁堂文,四川,5,1.0,0.4-0.8,0.0-0.6,0.2-0.8,0.2,0.2,0.0,0.8,0.2,0.0,0.0,0.8,0.8,-0.20
286,鞠鹏,浙江,2,1.0,0.5-0.5,0.0-1.0,0.0-0.0,1.5,0.0,1.5,0.0,1.0,0.0,0.0,0.5,2.5,2.00
287,曹飞,福建,4,1.0,0.5-1.3,0.0-0.3,0.0-0.0,0.8,0.0,0.8,0.5,0.0,0.0,0.0,1.3,1.5,0.00
288,于刚,四川,7,1.0,0.3-1.4,0.0-0.0,0.4-0.6,2.3,1.1,1.1,0.6,0.1,0.0,0.0,0.1,1.3,2.57
289,夏钰博,吉林,2,1.0,0.0-0.0,0.0-0.5,1.0-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.50
290,闵庆飞,四川,4,1.0,0.5-1.5,0.0-0.8,0.0-0.0,1.3,0.5,0.8,0.3,0.0,0.0,0.0,0.0,1.8,0.75
