球员,球队,OffensiveRating,DefensiveRating,NetRating,UsagePercent,号码,出场时间,首发,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,得分,Game_ID,2分中,2分投,3分中,3分投,罚球中,罚球投,出场
吴羽佳,广厦,71.6707645920999,113.69896946620861,-42.02820487410871,20.268804600934565,290,33,0,3,3,3,3,2,2,0,0,4,8,58556858004188,3,7,0,4,2,5,7
原晨云,广厦,,,,,522,0,0,0,0,0,0,0,0,0,0,0,0,58556858004188,0,0,0,0,0,0,0
杜金伦,广厦,,,,,58,0,0,0,0,0,0,0,0,0,0,0,0,58556858004188,0,0,0,0,0,0,0
胡明轩,广东,140.24327240996973,114.68521071690228,25.558061693067458,14.496444913611892,87,656,28,24,42,55,86,31,22,5,0,54,300,58556858004245,59,87,41,85,59,67,29
易建联,广东,130.28623734150005,113.26165221419662,17.02458512730344,23.762077962622666,261,909,29,80,238,39,55,36,34,50,65,162,591,58556858004245,168,296,34,94,153,190,29
王薪凯,广东,130.98938393282276,118.2341509453838,12.755232987438959,14.731396820158325,145,281,2,5,24,10,41,5,11,0,0,12,124,58556858004245,7,14,33,67,11,12,25
杜润旺,广东,128.02444554276966,118.3165262464258,9.70791929634386,13.818324156414254,522,490,1,25,46,12,88,5,20,6,0,15,192,58556858004245,26,34,41,95,17,23,28
布鲁克斯,广东,121.78628903927672,113.19501764605124,8.591271393225483,31.647637360556597,174,885,21,37,140,144,44,53,78,13,15,100,770,58556858004245,194,307,100,227,82,105,27
任骏飞,广东,120.83128317379436,114.77077322687867,6.060509946915687,15.270440550104286,580,842,28,55,84,52,75,36,38,15,8,72,329,58556858004245,107,169,16,56,67,89,28
曾繁日,广东,118.51939376972453,113.70704223712472,4.812351532599806,10.982172408887566,638,261,0,27,44,8,64,10,14,10,5,26,69,58556858004245,29,45,0,0,11,19,27
赵睿,广东,112.56910025507713,112.73591029814061,-0.16681004306347802,18.633584689763975,290,836,28,36,91,117,82,55,42,7,2,87,368,58556858004245,77,152,50,136,64,82,28
威姆斯,广东,107.25793456445612,114.23791248294087,-6.9799779184847495,29.30574454706782,377,865,8,25,146,185,71,44,92,10,18,115,597,58556858004245,211,376,28,78,91,113,28
徐杰,广东,103.17316637436944,114.22138053088152,-11.048214156512074,9.737719711940208,58,448,0,15,16,37,49,25,7,0,0,20,85,58556858004245,9,28,20,64,7,8,27
