球员,号码,出场时间,首发,2分中-投,3分中-投,罚球中-投,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,快攻,得分,Game_ID,球队
李泓澎,7,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,同曦
张韩,29,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,同曦
买尔丹,33,9,0,0-0(0%),0-0(0%),0-0(0%),1,1,0,2,0,0,0,0,0,0/0,0,2.0192E+12,同曦
乔文瀚,9,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,同曦
李柏润,5,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,同曦
同曦,--,--,--,36-53(68%),8-30(27%),11-12(92%),5,28,12,27,10,11,2,3,16,0/0,107,2.0192E+12,同曦
富兰克林,11,42,1,7-11(64%),5-13(38%),7-9(78%),3,8,12,3,4,2,2,0,9,0/0,36,2.0192E+12,山西
原帅,7,45,1,1-1(100%),6-11(55%),0-0(0%),0,0,2,1,2,1,0,0,1,0/0,20,2.0192E+12,山西
任骏威,10,40,1,4-10(40%),3-6(50%),2-2(100%),1,4,2,1,1,1,0,0,3,0/0,19,2.0192E+12,山西
刘冠岑,17,40,1,3-4(75%),1-7(14%),0-0(0%),3,3,1,1,3,2,0,1,3,0/0,9,2.0192E+12,山西
葛昭宝,35,22,1,1-2(50%),0-1(0%),4-4(100%),2,2,3,5,1,1,0,0,3,0/0,6,2.0192E+12,山西
埃里克-莫兰德,3,22,0,4-4(100%),0-0(0%),0-0(0%),2,9,3,4,0,3,1,2,1,0/0,8,2.0192E+12,山西
闫鹏飞,9,6,0,2-3(67%),0-0(0%),0-0(0%),1,2,0,3,0,2,0,0,0,0/0,4,2.0192E+12,山西
郭晓鹏,1,10,0,0-4(0%),1-1(100%),1-2(50%),1,0,1,1,0,0,0,0,1,0/0,4,2.0192E+12,山西
田桂森,0,6,0,0-1(0%),0-1(0%),0-0(0%),0,2,1,0,0,1,0,0,3,0/0,0,2.0192E+12,山西
刘春庆,6,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,山西
张泽龙,24,1,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,山西
邢志强,12,1,0,0-0(0%),0-1(0%),0-0(0%),0,0,0,0,0,0,1,0,0,0/0,0,2.0192E+12,山西
滕贺麒,8,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,山西
卫猛,19,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,山西
张涵钧,25,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,山西
山西,--,--,--,22-40(55%),16-41(39%),14-17(82%),13,30,25,19,11,13,4,3,24,0/0,106,2.0192E+12,山西
莫泰尤纳斯,12,37,1,7-11(64%),0-3(0%),1-3(33%),1,14,8,2,0,6,0,0,8,0/0,15,2.0192E+12,上海
罗旭东,13,42,1,3-5(60%),0-2(0%),4-4(100%),0,3,6,2,1,2,0,0,3,0/0,10,2.0192E+12,上海
鞠明欣,24,21,1,2-4(50%),1-3(33%),0-0(0%),1,1,2,5,2,2,0,0,0,0/0,7,2.0192E+12,上海
张春军,9,3,1,1-1(100%),0-2(0%),0-0(0%),1,0,0,2,0,0,0,0,0,0/0,2,2.0192E+12,上海
施宇晨,11,16,1,1-2(50%),0-1(0%),0-0(0%),0,0,0,3,0,1,0,0,0,0/0,2,2.0192E+12,上海
纳纳利,21,32,0,6-11(55%),2-4(50%),3-4(75%),0,3,4,0,2,1,0,0,4,0/0,21,2.0192E+12,上海
董瀚麟,10,28,0,9-11(82%),0-0(0%),1-4(25%),3,3,0,4,4,1,1,3,4,0/0,19,2.0192E+12,上海
蔡亮,1,26,0,2-3(67%),1-3(33%),0-0(0%),0,2,1,3,0,1,0,0,0,0/0,7,2.0192E+12,上海
王潼,25,6,0,1-3(33%),0-0(0%),0-0(0%),0,1,0,1,1,0,0,0,0,0/0,2,2.0192E+12,上海
李根,3,11,0,1-1(100%),0-0(0%),0-0(0%),0,0,0,2,0,0,0,0,0,0/0,2,2.0192E+12,上海
颜鹏,0,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,上海
朱瀛,2,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,上海
罗汉琛,33,12,0,0-0(0%),0-3(0%),0-0(0%),0,3,2,0,0,0,0,0,0,0/0,0,2.0192E+12,上海
孟令源,5,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,上海
唐子豪,7,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,上海
黄旭,17,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,上海
吴永盛,14,1,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,上海
上海,--,--,--,33-52(63%),4-21(19%),9-15(60%),6,30,23,24,10,14,1,3,19,0/0,87,2.0192E+12,上海
亚当斯,4,38,1,12-17(71%),2-8(25%),15-18(83%),4,8,7,1,3,5,0,0,12,0/0,45,2.0192E+12,青岛
翟逸,33,20,1,3-5(60%),0-1(0%),0-2(0%),0,1,1,2,2,1,0,0,2,0/0,6,2.0192E+12,青岛
刘传兴,21,2,1,1-2(50%),0-0(0%),0-0(0%),1,0,0,0,1,0,0,1,0,0/0,2,2.0192E+12,青岛
赵泰隆,8,16,1,0-0(0%),0-3(0%),0-0(0%),1,0,0,2,0,1,0,0,0,0/0,0,2.0192E+12,青岛
王庆明,32,14,1,0-1(0%),0-0(0%),0-0(0%),0,1,0,5,0,0,0,0,0,0/0,0,2.0192E+12,青岛
张骋宇,6,30,0,5-10(50%),3-7(43%),0-0(0%),1,2,0,1,0,1,0,0,0,0/0,19,2.0192E+12,青岛
约翰逊,41,33,0,6-11(55%),0-0(0%),5-6(83%),4,12,5,2,1,3,2,2,8,0/0,17,2.0192E+12,青岛
杨金蒙,7,19,0,1-2(50%),3-4(75%),0-0(0%),1,1,1,2,1,0,0,0,0,0/0,11,2.0192E+12,青岛
焦海龙,17,33,0,3-5(60%),1-4(25%),2-2(100%),2,5,1,4,0,2,1,0,2,0/0,11,2.0192E+12,青岛
赵戌宏,20,12,0,1-2(50%),0-0(0%),2-2(100%),1,2,1,2,0,0,1,1,1,0/0,4,2.0192E+12,青岛
丁皓然,35,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,青岛
赵大鹏,30,5,0,0-0(0%),0-1(0%),0-0(0%),0,1,1,0,1,1,0,0,0,0/0,0,2.0192E+12,青岛
许家晗,3,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,青岛
周湛东,24,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,青岛
史文龙,26,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,青岛
王睿泽,2,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,青岛
杨凯,9,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,青岛
张昊,55,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,青岛
林韦翰,16,11,0,0-1(0%),0-1(0%),0-0(0%),0,2,0,2,1,1,0,0,1,0/0,0,2.0192E+12,青岛
青岛,--,--,--,32-56(57%),9-29(31%),24-30(80%),15,35,17,23,10,15,4,4,26,0/0,115,2.0192E+12,青岛
尼克尔森,44,40,1,8-13(62%),3-5(60%),4-6(67%),5,10,0,0,0,2,2,2,7,0/0,29,2.0192E+12,广州
亨特,3,28,1,7-15(47%),0-3(0%),2-2(100%),2,5,3,4,2,3,0,0,7,0/0,16,2.0192E+12,广州
司坤,6,22,1,2-3(67%),2-2(100%),4-4(100%),2,1,0,0,2,1,0,0,2,0/0,14,2.0192E+12,广州
郑准,50,18,1,0-1(0%),3-8(38%),2-2(100%),1,1,0,3,0,1,0,0,1,0/0,11,2.0192E+12,广州
陈盈骏,9,27,1,4-8(50%),0-3(0%),0-0(0%),2,2,4,4,0,4,0,0,1,0/0,8,2.0192E+12,广州
刘丰搏,30,19,0,0-2(0%),2-5(40%),0-0(0%),0,1,1,2,0,0,0,0,0,0/0,6,2.0192E+12,广州
衡艺丰,8,14,0,2-4(50%),0-2(0%),0-0(0%),0,1,2,1,1,0,0,0,0,0/0,4,2.0192E+12,广州
田宇恒,10,12,0,2-4(50%),0-1(0%),0-2(0%),0,0,0,2,0,2,0,0,2,0/0,4,2.0192E+12,广州
孙鸣阳,27,15,0,0-2(0%),1-3(33%),0-0(0%),0,4,1,4,1,0,0,0,1,0/0,3,2.0192E+12,广州
姚天一,1,24,0,0-0(0%),1-4(25%),0-0(0%),1,2,1,4,2,1,0,0,0,0/0,3,2.0192E+12,广州
张永鹏,33,16,0,0-3(0%),0-0(0%),2-2(100%),0,2,0,3,0,0,0,0,1,0/0,2,2.0192E+12,广州
谷玥灼,12,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,广州
张展玮,23,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,广州
李炎哲,13,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,广州
郭凯,14,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,广州
贾明儒,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,广州
广州,--,--,--,25-55(45%),12-36(33%),14-18(78%),13,29,12,27,8,14,2,2,22,0/0,100,2.0192E+12,广州
贺希宁,0,36,1,2-3(67%),6-11(55%),4-6(67%),1,3,4,1,0,0,0,0,3,0/0,26,2.0192E+12,深圳
德怀特-拜克斯,8,39,1,7-12(58%),1-4(25%),6-6(100%),0,6,8,4,2,3,0,0,2,0/0,23,2.0192E+12,深圳
何忠勉,20,21,1,1-1(100%),1-1(100%),0-0(0%),0,4,0,2,0,2,1,0,0,0/0,5,2.0192E+12,深圳
李慕豪,9,30,1,0-4(0%),0-0(0%),2-2(100%),1,2,0,3,0,3,0,0,1,0/0,2,2.0192E+12,深圳
卢艺文,23,10,1,0-1(0%),0-1(0%),0-0(0%),0,1,0,0,1,0,1,0,0,0/0,0,2.0192E+12,深圳
穆罕默德,15,32,0,9-13(69%),2-3(67%),11-12(92%),2,9,3,2,1,1,0,2,10,0/0,35,2.0192E+12,深圳
沈梓捷,11,23,0,4-7(57%),0-0(0%),2-2(100%),2,5,0,3,0,3,0,2,1,0/0,10,2.0192E+12,深圳
杨林祎,6,19,0,0-0(0%),2-4(50%),0-0(0%),1,0,1,4,1,2,0,0,1,0/0,6,2.0192E+12,深圳
韩驭丰,14,23,0,1-2(50%),0-2(0%),0-1(0%),1,3,2,0,0,0,0,0,1,0/0,2,2.0192E+12,深圳
顾全,12,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,深圳
李想,16,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,深圳
陈柏石,34,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,深圳
孟铎,3,2,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,深圳
卢鹏羽,2,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,深圳
赵义明,5,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,深圳
于德豪,19,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,深圳
白昊天,10,1,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,1,0,0,0,0/0,0,2.0192E+12,深圳
容子峰,25,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,深圳
深圳,--,--,--,24-43(56%),12-26(46%),25-29(86%),8,33,18,19,5,15,2,4,19,0/0,109,2.0192E+12,深圳
林书豪,7,36,1,4-9(44%),4-10(40%),8-8(100%),0,5,9,2,4,4,0,0,7,0/0,28,2.0192E+12,北京
翟晓川,20,37,1,6-11(55%),0-5(0%),6-7(86%),1,4,2,5,1,0,0,0,6,0/0,18,2.0192E+12,北京
朱彦西,13,38,1,1-1(100%),4-8(50%),0-0(0%),0,3,2,1,1,0,0,0,1,0/0,14,2.0192E+12,北京
丘天,19,6,1,1-1(100%),0-0(0%),0-0(0%),1,0,0,1,0,0,0,0,0,0/0,2,2.0192E+12,北京
方硕,8,23,1,1-5(20%),0-2(0%),0-0(0%),0,4,1,3,0,0,0,0,2,0/0,2,2.0192E+12,北京
汉密尔顿,41,35,0,12-17(71%),0-2(0%),1-1(100%),4,4,3,2,1,2,2,2,2,0/0,25,2.0192E+12,北京
王骁辉,77,14,0,0-0(0%),3-5(60%),0-0(0%),0,1,1,2,0,1,0,0,0,0/0,9,2.0192E+12,北京
周仪翔,27,21,0,0-2(0%),2-3(67%),0-0(0%),1,2,3,1,0,0,0,0,0,0/0,6,2.0192E+12,北京
段江鹏,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北京
刘晓宇,10,13,0,0-1(0%),0-0(0%),0-0(0%),1,0,2,2,2,1,0,0,1,0/0,0,2.0192E+12,北京
王旭,4,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北京
赵晏满,1,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北京
孙昊锋,2,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北京
张卓,22,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北京
张才仁,16,3,0,0-1(0%),0-0(0%),0-0(0%),0,0,0,1,0,0,0,0,0,0/0,0,2.0192E+12,北京
常林,21,8,0,0-0(0%),0-0(0%),0-0(0%),0,1,0,2,1,0,0,0,0,0/0,0,2.0192E+12,北京
孙晨然,6,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,北京
北京,--,--,--,25-48(52%),13-35(37%),15-16(94%),8,24,23,22,10,8,2,2,19,0/0,104,2.0192E+12,北京
朱俊龙,23,28,1,4-6(67%),2-6(33%),2-2(100%),1,2,2,4,0,1,1,0,1,0/0,16,2.0192E+12,广厦
艾伦-杰克逊,6,24,1,4-5(80%),0-3(0%),7-8(88%),0,1,3,0,0,3,0,0,5,0/0,15,2.0192E+12,广厦
胡金秋,21,25,1,5-8(63%),0-0(0%),4-5(80%),3,3,0,0,2,0,0,0,3,0/0,14,2.0192E+12,广厦
刘铮,11,26,1,3-5(60%),0-2(0%),5-6(83%),0,4,1,2,4,0,0,0,5,0/0,11,2.0192E+12,广厦
苏若禹,5,4,1,0-1(0%),0-0(0%),0-0(0%),0,0,0,2,0,1,0,0,0,0/0,0,2.0192E+12,广厦
杰伦-雷诺兹,8,20,0,6-10(60%),0-0(0%),1-1(100%),2,10,1,3,1,2,1,2,1,0/0,13,2.0192E+12,广厦
孙铭徽,17,15,0,2-5(40%),0-1(0%),3-4(75%),0,3,5,1,3,0,0,1,2,0/0,7,2.0192E+12,广厦
李金效,13,20,0,2-3(67%),0-0(0%),0-0(0%),0,1,1,3,0,3,0,0,0,0/0,4,2.0192E+12,广厦
吴羽佳,10,15,0,1-3(33%),0-3(0%),1-2(50%),1,2,1,0,0,0,0,0,2,0/0,3,2.0192E+12,广厦
赵岩昊,25,13,0,1-1(100%),0-3(0%),0-0(0%),1,1,0,0,0,1,0,0,2,0/0,2,2.0192E+12,广厦
赵嘉仁,32,16,0,0-4(0%),0-1(0%),1-2(50%),3,3,0,3,0,2,1,0,3,0/0,1,2.0192E+12,广厦
赵天熠,15,12,0,0-4(0%),0-1(0%),1-4(25%),1,2,0,0,1,1,1,0,2,0/0,1,2.0192E+12,广厦
赵嘉义,35,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,广厦
李京龙,9,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,广厦
原晨云,18,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,广厦
杜金伦,2,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,广厦
广厦,--,--,--,28-55(51%),2-20(10%),25-34(74%),12,32,14,18,11,14,4,3,26,0/0,87,2.0192E+12,广厦
侯逸凡,31,28,1,1-1(100%),4-6(67%),2-3(67%),0,7,1,2,2,3,0,1,2,0/0,16,2.0192E+12,江苏
吴冠希,11,27,1,2-5(40%),0-0(0%),0-0(0%),1,9,1,3,0,4,2,1,5,0/0,4,2.0192E+12,江苏
拉杜利察,13,6,1,2-2(100%),0-1(0%),0-0(0%),0,3,1,0,0,1,1,0,1,0/0,4,2.0192E+12,江苏
易立,8,7,1,1-2(50%),0-0(0%),1-2(50%),0,2,1,1,0,2,0,0,1,0/0,3,2.0192E+12,江苏
史鸿飞,4,6,1,0-0(0%),0-3(0%),0-0(0%),0,1,0,0,0,2,0,0,1,0/0,0,2.0192E+12,江苏
黄荣奇,1,29,0,3-8(38%),2-3(67%),1-2(50%),0,4,3,3,0,6,0,0,2,0/0,13,2.0192E+12,江苏
孙鑫,10,21,0,3-8(38%),1-3(33%),0-0(0%),2,0,1,4,2,1,0,0,0,0/0,9,2.0192E+12,江苏
赵率舟,24,25,0,1-1(100%),2-8(25%),1-2(50%),0,3,0,6,1,2,0,0,2,0/0,9,2.0192E+12,江苏
刘宇轩,21,12,0,4-4(100%),0-1(0%),0-0(0%),0,3,0,0,0,0,0,0,0,0/0,8,2.0192E+12,江苏
王洪,9,29,0,4-5(80%),0-2(0%),0-0(0%),0,0,4,3,2,1,0,0,1,0/0,8,2.0192E+12,江苏
赵旭昕,77,14,0,0-1(0%),0-0(0%),1-2(50%),1,0,0,2,0,1,0,0,2,0/0,1,2.0192E+12,江苏
吴俣成,27,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,江苏
蒋浩然,18,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,江苏
布莱克尼,2,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,江苏
刘剑阁,7,7,0,0-2(0%),0-1(0%),0-0(0%),0,0,3,2,0,0,0,0,1,0/0,0,2.0192E+12,江苏
柳伟,15,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,江苏
张稀然,6,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,江苏
江苏,--,--,--,21-39(54%),9-28(32%),6-11(55%),4,32,15,26,7,23,3,2,18,0/0,75,2.0192E+12,江苏
雷蒙,11,37,1,6-12(50%),2-4(50%),0-0(0%),3,1,3,3,0,1,0,0,0,0/0,18,2.0192E+12,八一
付豪,1,28,1,7-15(47%),0-0(0%),3-5(60%),3,8,0,4,1,1,1,0,4,0/0,17,2.0192E+12,八一
阿尔斯兰,5,35,1,2-6(33%),2-6(33%),2-2(100%),0,0,3,1,3,2,0,0,3,0/0,12,2.0192E+12,八一
许钟豪,27,32,1,5-9(56%),0-0(0%),1-2(50%),2,6,2,4,0,0,1,2,3,0/0,11,2.0192E+12,八一
王俊杰,3,12,1,2-4(50%),0-0(0%),1-3(33%),1,2,1,1,0,1,0,0,3,0/0,5,2.0192E+12,八一
韩硕,33,25,0,4-6(67%),1-5(20%),2-3(67%),1,3,4,3,2,1,0,0,4,0/0,13,2.0192E+12,八一
刘航初,9,19,0,5-7(71%),0-3(0%),3-4(75%),3,4,0,4,2,0,0,0,3,0/0,13,2.0192E+12,八一
缪光旸,21,12,0,4-7(57%),0-0(0%),0-0(0%),2,0,0,2,0,2,0,0,0,0/0,8,2.0192E+12,八一
罗凯文,17,10,0,2-3(67%),0-1(0%),0-0(0%),0,2,2,4,1,0,0,0,0,0/0,4,2.0192E+12,八一
张旭,13,6,0,0-2(0%),0-0(0%),2-2(100%),0,0,0,1,0,1,0,0,1,0/0,2,2.0192E+12,八一
郭昊文,6,15,0,0-4(0%),0-0(0%),2-2(100%),0,1,2,2,0,4,0,0,1,0/0,2,2.0192E+12,八一
宁鸿宇,16,3,0,0-0(0%),0-0(0%),2-2(100%),0,0,0,0,0,0,0,0,1,0/0,2,2.0192E+12,八一
张祖铭,20,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,八一
马泳,25,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,八一
邹雨宸,10,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,八一
余晨,15,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,八一
田宇翔,7,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,八一
石颜博,18,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,八一
八一,--,--,--,37-75(49%),5-19(26%),18-25(72%),15,27,17,29,9,13,2,2,23,0/0,107,2.0192E+12,八一
王哲林,31,36,1,19-23(83%),0-3(0%),6-9(67%),2,14,3,3,1,2,1,2,8,0/0,44,2.0192E+12,福建
陈林坚,15,43,1,3-8(38%),5-10(50%),1-2(50%),1,2,4,1,1,2,0,0,1,0/0,22,2.0192E+12,福建
阿玛尔-斯塔德迈尔,32,21,1,5-10(50%),0-0(0%),4-6(67%),0,3,0,4,1,1,4,0,7,0/0,14,2.0192E+12,福建
谢亚财,19,16,1,0-0(0%),0-0(0%),1-2(50%),0,3,3,2,1,2,0,0,1,0/0,1,2.0192E+12,福建
黄毅超,14,17,1,0-1(0%),0-1(0%),0-0(0%),0,2,1,0,0,0,0,0,0,0/0,0,2.0192E+12,福建
泰-劳森,1,26,0,8-10(80%),1-2(50%),9-12(75%),1,2,5,1,2,2,0,0,10,0/0,28,2.0192E+12,福建
李江淮,5,32,0,0-0(0%),4-5(80%),0-0(0%),0,2,7,3,2,0,0,0,0,0/0,12,2.0192E+12,福建
胡珑贸,10,17,0,2-3(67%),0-0(0%),0-0(0%),1,2,0,0,1,2,0,0,0,0/0,4,2.0192E+12,福建
孙椿棚,13,13,0,1-1(100%),0-0(0%),0-0(0%),1,2,0,4,0,0,1,0,0,0/0,2,2.0192E+12,福建
孙喆,17,7,0,0-0(0%),0-0(0%),1-2(50%),0,1,1,2,0,0,2,0,1,0/0,1,2.0192E+12,福建
徐铭智,0,5,0,0-1(0%),0-0(0%),1-2(50%),0,1,1,2,1,0,0,0,1,0/0,1,2.0192E+12,福建
刁成灏,24,2,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,1,0,0,0,0,0,0/0,0,2.0192E+12,福建
刘洺宇,6,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,福建
卡米然斯地克江,3,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,福建
何重达,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,福建
曹飞,29,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,福建
王润锋,16,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,福建
汤杰,7,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,福建
福建,--,--,--,38-57(67%),10-21(48%),23-35(66%),6,34,25,23,10,11,8,2,29,0/0,129,2.0192E+12,福建
斯托克斯,2,37,1,10-15(67%),0-2(0%),11-12(92%),6,6,4,2,0,2,2,0,6,0/0,31,2.0192E+12,新疆
周琦,9,32,1,6-10(60%),1-4(25%),3-6(50%),4,11,1,3,1,2,1,1,6,0/0,18,2.0192E+12,新疆
阿不都沙拉木,23,37,1,4-8(50%),1-4(25%),4-5(80%),3,3,3,1,1,1,1,0,4,0/0,15,2.0192E+12,新疆
曾令旭,6,3,1,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,2,0,0,0,0/0,0,2.0192E+12,新疆
西热力江,20,26,1,0-1(0%),0-3(0%),0-0(0%),1,0,4,3,0,1,0,0,1,0/0,0,2.0192E+12,新疆
凯-费尔德,1,34,0,5-10(50%),1-1(100%),4-5(80%),1,4,3,5,0,1,1,0,4,0/0,17,2.0192E+12,新疆
可兰白克,13,37,0,1-2(50%),3-6(50%),4-4(100%),2,2,1,5,0,1,1,0,2,0/0,15,2.0192E+12,新疆
俞长栋,7,23,0,4-6(67%),1-3(33%),3-4(75%),1,0,1,3,2,1,0,0,3,0/0,14,2.0192E+12,新疆
唐才育,8,4,0,0-1(0%),0-0(0%),2-2(100%),0,0,0,1,1,0,0,0,1,0/0,2,2.0192E+12,新疆
齐麟,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,新疆
热甫卡提江-吐送江,31,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,新疆
范子铭,17,2,0,0-1(0%),0-0(0%),0-0(0%),0,0,0,2,0,1,1,0,0,0/0,0,2.0192E+12,新疆
鲁吐布拉,26,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,新疆
刘力鹏,35,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,新疆
西尔扎提-赛买提,0,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,新疆
刘羽楠,18,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2.0192E+12,新疆
